datetime_id,month_date,m_loans_advances_bank_excfin_lca,m_loans_advances_bank_lca,m_loans_advances_nbfi_excfin_lca,m_loans_advances_nbfi_lca,m_loans_advances_afi_excfin_lca,m_loans_advances_afi_lca,m_nonfin_issue_bills_lca,m_issue_bills_lca,m_narrow_c_excfin_lca,mseadj_narrow_c_excfin_lca,m_narrow_c_lca,mseadj_narrow_c_lca,m_total_c_excfin_lca,mseadj_total_c_excfin_lca,m_total_c_lca,mseadj_total_c_lca,m_owner_housing_lca,mseadj_owner_housing_lca,m_investor_c_lca,mseadj_investor_c_lca,m_personal_c_lca,mseadj_personal_c_lca,m_nonfin_business_c_lca,mseadj_nonfin_business_lca,m_business_lca,mseadj_business_lca,m_govsector_lending_afi_lca,m_house_loan_switch_lca,m_total_incselectfin_business_lca,mseadj_total_incselectfin_business_lca,m_business_incselectfin_lca,mseadj_business_incselectfin_lca
1,2003-01-31,627,626.8,112.2,124,739.2,750.7,74.5,76.7,812,814.4,827.5,828,905.8,908.4,916.6,918.6,313,312.5,143.9,143.7,86.9,87.2,341.2,341.5,372.8,375.1,32.6,,,,,
2,2003-02-28,627,635.5,112.2,123.9,739.2,759.4,74.5,76.2,812,814.4,835.7,837.1,905.8,908.4,925.4,926.7,316.1,316.2,146.4,146.2,88.1,88.2,341.2,341.5,374.7,376.3,36.9,,,,,
3,2003-03-31,627,641.8,112.2,126.5,739.2,768.3,74.5,76.3,812,814.4,844.6,845.9,905.8,908.4,939,939.2,319.6,320.3,149.6,150,90,90.3,341.2,341.5,379.8,379.4,30.4,,,,,
4,2003-04-30,627,650.2,112.2,118.1,739.2,768.3,74.5,76.5,812,814.4,844.8,847.3,905.8,908.4,939.5,941.5,326.5,327.5,148.6,149.2,89.5,89.7,341.2,341.5,375,375.2,27.3,,,,,
5,2003-05-31,635.4,657.7,111.5,117.7,746.8,775.3,74.5,76.5,819.5,821,851.8,851.9,913.9,915.9,947.3,947.7,330.6,331.1,151.9,152.8,90.4,90.5,341,341.8,374.4,373.3,30.8,,,,,
6,2003-06-30,645.4,669.1,111.7,117.2,757.2,786.3,74.7,76.8,830.7,829.7,863.1,860.7,929.1,927.2,962.4,960,336.2,336.4,156.4,156.3,91.6,91.2,344.9,344.3,378.2,376.4,30.1,,,,,
7,2003-07-31,651.4,663.1,112,117.8,763.4,780.9,75.4,77.6,836.8,838.3,858.5,859.6,936.5,938.5,959.2,960.3,340.7,340.6,159.8,159.6,92.7,92.6,343.3,344.8,365.9,367.3,30.7,,,,,
8,2003-08-31,658.9,671.1,112.5,117.9,771.4,789,75.7,78,845.7,844.6,867,867.5,947.4,945.3,969.5,970.3,344.8,344.7,163.3,163.2,93.3,93.2,346,345.7,368.1,369.2,27.5,,,,,
9,2003-09-30,666.6,679.1,112.5,118.1,779.1,797.2,75.9,78.3,852.9,855.3,875.5,876.7,959.3,960.1,982.8,982.3,349.8,349.6,167.7,167.4,94.5,94.5,347.2,348,370.7,370.5,23.8,,,,,
10,2003-10-31,677.8,689.5,111.8,118.2,789.6,807.7,77.2,79.5,865.3,864.2,887.1,885.8,973.6,971.9,996.6,994.7,353.7,353.5,172,171.6,95.5,95.5,352.5,351,375.4,373.8,23.4,,,,,
11,2003-11-30,688.7,700.9,112.6,117.2,801.3,818.1,77.3,79.7,876.9,873.6,897.8,895.5,987.1,983,1008.8,1006.7,359.3,358.8,175.5,175.2,96.2,95.9,356.2,354.3,377.9,376.9,23.4,,,,,
12,2003-12-31,699.2,712.4,109.8,114.2,809,826.6,78.3,80.6,886,882.5,907.2,904.3,998.8,995.7,1020.9,1019.4,364.9,364,179.2,179,96.6,96.2,358.1,357.2,380.2,379.8,20.2,,,,,
13,2004-01-31,705.8,719.6,108.6,112.2,814.4,831.8,77.8,80.2,890.2,888.7,912,911.4,1006.7,1007.5,1029.1,1030.5,369.3,368.7,182.3,182.1,96.8,97.1,358.2,359.5,380.7,382.3,20.8,,,,,
14,2004-02-29,708.5,721.5,109.2,112.7,817.7,834.2,77.9,80.3,893.4,893.6,914.5,915.7,1014.6,1018.3,1036.4,1037.6,373.3,373.5,185.4,185.2,98.3,98.3,357.6,357.7,379.4,380.5,21.1,,,,,
15,2004-03-31,713.4,724.9,111.9,115.1,825.3,840,79,81.6,902.4,905.9,921.7,923.6,1030.5,1034.2,1050.3,1051,381.1,382.1,189,189.5,98.4,98.8,362,362.5,381.8,381.7,18.8,,,,,
16,2004-04-30,724.7,736,110.1,113.5,834.8,849.5,79.3,81.9,912.7,915.4,931.4,933.7,1041.2,1044.1,1060.5,1062.8,385.6,386.7,191.9,192.7,98.9,99.3,364.9,365.1,384.2,384.2,14.3,,,,,
17,2004-05-31,734.3,745.8,111.6,115.1,845.9,860.9,79.7,82.1,923.5,925.3,943,943.4,1052.6,1054.3,1072.7,1073.5,390.5,391,195,196.1,99.4,99.6,367.7,368.5,387.8,387,14.8,,,,,
18,2004-06-30,745,757.1,111.8,115.2,856.9,872.2,80.8,83.2,935.6,934.5,955.4,953.7,1068.9,1067.4,1089.4,1087,394,393.9,200.5,200,101,100.7,373.5,373,393.9,392.7,17,,,,,
19,2004-07-31,751.1,763.5,111.1,114.9,862.2,878.4,80.7,83.1,941,942.7,961.5,963.6,1077.2,1078.8,1098.4,1100.3,398.9,398.8,203.2,202.9,101.5,101.5,373.5,375.2,394.7,396.7,17.3,,,,,
20,2004-08-31,761.1,773.5,112.5,115.7,873.6,889.2,81.7,84,952.8,951.6,973.2,973.4,1090.9,1088.9,1112,1112.5,403.8,403.8,205.4,205.3,102.3,101.9,379.4,379.2,400.5,401.6,17.4,,,,,
21,2004-09-30,759.7,772.5,113.8,117.4,873.5,890,82.3,84.8,954,956.6,974.8,976.7,1100.4,1101.2,1121.9,1121.9,408.2,407.8,208.8,208.4,102.9,102.9,380.6,381.5,402,402.5,17.1,,,,,
22,2004-10-31,770.6,783.8,116.3,120.6,887,904.5,82.6,85.2,967.3,966.3,989.6,988.6,1115.3,1113,1138.5,1136.6,413.8,413.5,211.1,210.8,104.4,104.2,386.1,384.6,409.2,407.8,18.7,,,,,
23,2004-11-30,779,793.1,117.2,121.1,896.2,914.2,83.2,85.8,977.1,973.4,1000,996.9,1127.4,1123.5,1151,1148,419.8,419.3,213.5,213.2,105.8,105.4,388.2,386,411.8,410.2,18.6,,,,,
24,2004-12-31,784,801.5,118.3,122.3,902.3,923.8,84.2,86.8,984.8,980.9,1010.6,1006.6,1138.6,1135.5,1165.2,1162.5,426,425,216.3,216,107.5,107.1,388.9,387.8,415.5,414.3,20.5,,,,,
25,2005-01-31,792.4,807.2,120.2,124.3,912.7,931.5,83.6,86.1,993.3,991.5,1017.5,1015.7,1156.5,1157,1181.4,1182.2,436.6,436.1,221.3,221.2,107.8,108.2,390.7,391.9,415.6,416.6,23.4,,,,,
26,2005-02-28,794.9,809.5,120.7,125.1,915.6,934.7,84.6,87.2,998.1,998.2,1021.8,1022.5,1163.8,1164.1,1188.3,1189.5,436.1,436.5,221.9,222,109,109,396.7,396.7,421.3,421.9,18.4,,,,,
27,2005-03-31,799.3,815.5,122.2,125.8,921.5,941.2,85.7,88.3,1005.1,1008.7,1029.5,1032.2,1168.2,1172,1193.2,1194.6,436.9,438,222.2,222.8,109.6,110.3,399.5,400,424.5,424.6,16,,,,,
28,2005-04-30,808.9,825.6,123.9,127.9,932.9,953.5,86.5,89.1,1017.4,1020.3,1042.6,1044.9,1180.6,1183.6,1206.5,1209.3,441.8,443.1,224.1,225.1,110.5,111.1,404.2,404.4,430.1,430.1,17.3,,,,,
29,2005-05-31,819.6,835.8,124.8,128.2,944.4,964,87.9,90.6,1030,1032.2,1054.6,1056,1195.1,1197.5,1220.3,1222.2,447.1,447.7,226.1,227.1,111.4,111.7,410.4,411.2,435.6,435.5,17.6,,,,,
30,2005-06-30,828.7,844.9,125.9,129.9,954.6,974.8,88.4,91.4,1040.3,1038.9,1066.2,1065.3,1208.5,1206.9,1235.3,1233.3,453.1,452.7,228.9,228,113.3,112.9,413.2,413.1,440,439.5,18.3,,,,,
31,2005-07-31,834.3,850.1,126.7,131,961,981.1,88.6,91.7,1047.5,1049.7,1072.9,1075.8,1216.4,1217.8,1242.7,1245.1,456.3,456,230.4,229.8,113.9,113.8,415.9,417.8,442.1,444.7,15.6,,,,,
32,2005-08-31,847.8,864,129.1,133.5,976.9,997.5,90.4,93.4,1064.3,1063.2,1090.9,1090.7,1233.4,1231.5,1260.9,1260.5,460.9,460.7,232.1,232,116.4,115.9,424,424,451.5,452.4,12.3,,,,,
33,2005-09-30,852.9,869.4,130.6,135.1,983.5,1004.5,91.5,94.7,1071.3,1074,1099.2,1101.8,1244.1,1244.7,1272.9,1273.3,465.6,465,233.6,233.4,116.9,116.9,428,429,456.7,457.9,14.7,,,,,
34,2005-10-31,865.4,881.9,132.4,137.3,997.8,1019.3,92.7,95.8,1087.4,1086.5,1115.1,1114.3,1260.8,1258.5,1289.4,1287.4,471.4,471,235.9,235.7,117.7,117.6,435.8,434.2,464.4,463,13.5,,,,,
35,2005-11-30,876.5,894.4,133.3,138.1,1009.8,1032.5,94.2,97.2,1101.4,1097.1,1129.7,1125.7,1276.1,1271.6,1305.3,1301.4,477.3,476.7,238.4,238.1,118.7,118.3,441.8,438.9,471,468.5,14.3,,,,,
36,2005-12-31,887,906.4,134,138.4,1021,1044.8,95.7,98.8,1114.1,1109.7,1143.6,1138.6,1290.9,1287.6,1321.3,1317.8,483.8,483,239.9,239.5,119.2,118.7,448,446.8,478.3,476.4,15,,,,,
37,2006-01-31,895.5,916.1,134.7,139.3,1030.2,1055.5,96,99.1,1123.2,1121.1,1154.6,1151.7,1299.3,1300.2,1331.6,1331.7,488.6,488.4,241.5,241.3,119.4,119.7,449.9,451,482.1,482.4,14.2,,,,,
38,2006-02-28,908.3,929.6,133.5,138.3,1041.7,1067.9,96.5,99.7,1135.2,1135,1167.6,1167.5,1313.8,1314.2,1347.1,1347.9,493.6,494.3,243.3,243.5,120.5,120.5,456.4,456.3,489.7,489.5,16,,,,,
39,2006-03-31,913.1,934.6,133.7,138.7,1046.9,1073.3,97.5,100.8,1141.1,1144.6,1174.1,1177.1,1327.3,1331.3,1361.2,1363.4,498.4,499.8,244.9,245.6,120.8,121.8,463.2,463.6,497.1,497.3,16,,,,,
40,2006-04-30,924.2,946.3,134.1,139.4,1058.4,1085.7,98.8,102.1,1152.6,1155.6,1187.7,1190.2,1342.9,1346.1,1379.1,1382.6,504,505.6,247.6,248.6,121.9,122.6,469.5,469.6,505.6,505.7,14.4,,,,,
41,2006-05-31,933.5,956.4,134.8,140.2,1068.3,1096.6,100.2,103.5,1164.9,1167.7,1200.1,1202.9,1360.7,1364,1396.8,1400.1,510.9,511.7,251.7,252.6,122.9,123.2,475.2,476.3,511.3,512.3,11.5,,,,,
42,2006-06-30,943.7,967.2,135.5,142,1079.3,1109.2,101.7,105.1,1177,1175.6,1214.3,1214.1,1378.1,1376.2,1416.5,1414.6,519.3,518.3,255.4,254.2,124.8,124.2,478.5,478.8,516.9,517.5,12.1,,,,,
43,2006-07-31,954.8,978.3,136.8,143.2,1091.7,1121.6,103.2,106.5,1191.5,1194.2,1228.1,1232,1392.5,1393.7,1430.8,1433.8,526.7,526,257.2,256.4,125.2,125.1,483.3,485.7,521.7,525.1,12.7,,,,,
44,2006-08-31,963.8,987.5,140.6,145.7,1104.4,1133.3,104.8,108.3,1206.2,1205.2,1241.6,1240.8,1411.8,1409.5,1448.9,1447.3,533.5,532.8,259.9,259.9,129.3,128.7,489,489.1,526.1,526.6,15.6,,,,,
45,2006-09-30,970.5,994.4,140.9,145.9,1111.4,1140.3,106.6,110.2,1214.8,1217.5,1250.5,1253.4,1423.7,1423.9,1461.2,1461.9,544.1,543.1,254.9,255,131.1,131.2,493.6,494.8,531.1,532.7,15.6,,,,,
46,2006-10-31,980.7,1006,141.7,146.4,1122.3,1152.4,108.5,112.2,1228.6,1228,1264.6,1264.1,1440.9,1439.1,1478.6,1476.8,549.8,549.2,256.8,256.9,131.5,131.5,502.7,501.1,540.5,539.1,15,,,,,
47,2006-11-30,992.7,1018.3,146.1,150.9,1138.8,1169.3,110.1,113.8,1245.3,1240.5,1283,1277.8,1458.4,1453.3,1498,1492.6,555.2,554.7,258.5,258.3,133,132.6,511.8,508.1,551.3,547.5,16.2,,,,,
