datetime_id,month_date,m_currency_ma,m_transaction_deposits_adi_ma,m_m1_ma,m_deposit_certificates_adi_ma,m_non_transaction_deposits_adi_ma,m_m3_ma,m_other_borrowing_privsect_afi_ma,m_broad_money_ma,mseadj_currency_ma,mseadj_m1_ma,mseadj_m3_ma,mseadj_broad_money_ma,m_base_money_ma,m_offshore_borrow_afi_ma
1,2003-01-31,29.7,183,212.7,82.4,241.6,540.2,87,627.2,29.6,212.6,537.5,623.6,36.1,152.3
2,2003-02-28,29.5,180.8,210.3,84,244.1,542.4,86.6,629,29.6,213.4,540.6,626.7,35.2,149.9
3,2003-03-31,29.3,183.4,212.7,84.3,246.2,546.7,85.5,632.2,29.6,214.4,547.7,631.9,35.1,144.9
4,2003-04-30,29.5,183.1,212.6,86.7,247.8,550,74.3,624.3,29.6,214.1,553.1,629.4,36.3,148.3
5,2003-05-31,29.7,185.2,214.9,91.9,250.4,561.1,72.7,633.8,30.1,215.9,563.6,637.9,35.1,155.2
6,2003-06-30,29.6,192,221.6,86.4,252.6,565.6,68.6,634.2,29.9,217.7,564.4,637.5,35.1,149.4
7,2003-07-31,30.2,191.2,221.1,86,249.6,555.6,77,632.6,30.2,221,557.9,635.1,35.2,164
8,2003-08-31,30.5,192.2,222.4,93.5,254,568.7,79.2,647.9,30.4,223.9,570.8,647.1,35.2,159.5
9,2003-09-30,30.1,198.5,228.3,96.4,254.5,578.2,79.2,657.4,30,226.9,577.8,656.9,35.6,151.4
10,2003-10-31,30.7,198.1,228.4,95.7,257.2,580.5,72.1,652.6,30.6,229,582.4,653.6,36.1,146.3
11,2003-11-30,30.9,200.5,231,95.2,262.3,587.6,72.1,659.7,30.7,230.6,587.2,657.9,36.4,154.9
12,2003-12-31,31.5,205,236.1,99.7,266,600.9,72.1,673,30.9,232,594.2,665.7,38.8,158.2
13,2004-01-31,31.2,204,234.8,95.7,269,598.6,71.7,670.3,31.1,234.4,595.4,666.5,37,160.5
14,2004-02-29,31.2,202,232.8,103.8,270,605.6,67.9,673.4,31.3,236,603.8,671.8,36.4,163
15,2004-03-31,30.9,203,233.5,103.3,273.8,609.7,67.1,676.8,31.2,235.2,610.7,676.4,37.3,150.3
