DateTime ID,Report Month,Financial Growth: Monthly Non-Fin Businesses,Financial Growth: 12-Month Non-Fin Businesses,Financial Growth: Monthly Business,Financial Growth: 12-Month Business,Financial Growth: Monthly Exc-Fin Businesses,Financial Growth: 12-Month Exc-Fin Businesses,Credit Aggregate: Monthly Bank Loans Exc-Fin Businesses,"Credit Aggregate: Monthly Bank Loans, Business",Credit Aggregate: Monthly NBFI Loans Exc-Fin Businesses,"Credit Aggregate: Monthly NBFI Loans, Business",Credit Aggregate: Monthly AFI Loans & Advances Exc-Fin Business,Credit Aggregate: Monthly Bills on Issue to Non-Fin Business,Credit Aggregate: Monthly Narrow Cred. Exc-Fin Business,Credit Aggregate: Monthly Narrow Cred. Business,Credit Aggregate: Season-Adj Monthly Narrow Cred. Business,Credit Aggregate: Monthly Total Cred. Exc-Fin Business,Credit Aggregate: Season-Adj Monthly Total Cr. Exc-Fin Business,Credit Aggregate: Monthly Non-Fin Business,Credit Aggregate: Season-Adj Monthly Non-Fin Business,Credit Aggregate: Monthly Business,Credit Aggregate: Season-Adj Monthly Business
1,2003-01-31,0.1,7.2,0.9,6.3,0.9,15.4,627,626.8,112.2,124,739.2,74.5,812,827.5,828,905.8,908.4,341.2,341.5,372.8,375.1
2,2003-02-28,0.1,7.2,0.7,6.5,0.9,15.4,627,635.5,112.2,123.9,739.2,74.5,812,835.7,837.1,905.8,908.4,341.2,341.5,374.7,376.3
3,2003-03-31,0.1,7.2,1.6,7.8,0.9,15.4,627,641.8,112.2,126.5,739.2,74.5,812,844.6,845.9,905.8,908.4,341.2,341.5,379.8,379.4
4,2003-04-30,0.1,7.2,-0.3,6.8,0.9,15.4,627,650.2,112.2,118.1,739.2,74.5,812,844.8,847.3,905.8,908.4,341.2,341.5,375,375.2
5,2003-05-31,0.1,7.2,0.2,6.9,0.9,15.4,635.4,657.7,111.5,117.7,746.8,74.5,819.5,851.8,851.9,913.9,915.9,341,341.8,374.4,373.3
6,2003-06-30,0.8,7.2,0.6,6.4,1.3,15.4,645.4,669.1,111.7,117.2,757.2,74.7,830.7,863.1,860.7,929.1,927.2,344.9,344.3,378.2,376.4
7,2003-07-31,0.8,7.2,1.1,6.9,1.5,15.4,651.4,663.1,112,117.8,763.4,75.4,836.8,858.5,859.6,936.5,938.5,343.3,344.8,365.9,367.3
8,2003-08-31,0.3,7.2,0.6,7.4,0.9,15.4,658.9,671.1,112.5,117.9,771.4,75.7,845.7,867,867.5,947.4,945.3,346,345.7,368.1,369.2
9,2003-09-30,0.6,7.2,0.7,6.6,1.4,15.4,666.6,679.1,112.5,118.1,779.1,75.9,852.9,875.5,876.7,959.3,960.1,347.2,348,370.7,370.5
10,2003-10-31,0.6,7.2,0.7,7.9,1.3,15.4,677.8,689.5,111.8,118.2,789.6,77.2,865.3,887.1,885.8,973.6,971.9,352.5,351,375.4,373.8
11,2003-11-30,1.1,7.2,1.1,8.5,1.3,15.4,688.7,700.9,112.6,117.2,801.3,77.3,876.9,897.8,895.5,987.1,983,356.2,354.3,377.9,376.9
12,2003-12-31,0.8,7.2,0.8,9,1.3,15.4,699.2,712.4,109.8,114.2,809,78.3,886,907.2,904.3,998.8,995.7,358.1,357.2,380.2,379.8
13,2004-01-31,0.5,7.2,0.6,8.6,1.2,15.4,705.8,719.6,108.6,112.2,814.4,77.8,890.2,912,911.4,1006.7,1007.5,358.2,359.5,380.7,382.3
14,2004-02-29,-0.4,7.2,-0.4,7.4,1.1,15.4,708.5,721.5,109.2,112.7,817.7,77.9,893.4,914.5,915.7,1014.6,1018.3,357.6,357.7,379.4,380.5
