DateTime ID,Report Month,Monetary Aggregate: Monthly Currency,Monetary Aggregate: Monthly Transaction Deposits w/ ADIs,Monetary Aggregate: M1 Money Supply,Monetary Aggregate: Monthly Certificate Deposits w/ ADIs,Monetary Aggregate: Monthly Non-Transaction Deposits w/ ADIs,Monetary Aggregate: M3 Money Supply,Monetary Aggregate: Monthly Private Borrowing (Other) w/ ADIs,Monetary Aggregate: Monthly Broad Money,Monetary Aggregate: Seasonally-Adjusted Currency,Monetary Aggregate: Seasonally-Adjusted M1 Money Supply,Monetary Aggregate: Seasonally-Adjusted M3 Money Supply,Monetary Aggregate: Seasonally-Adjusted Monthly Broad Money,Monetary Aggregate: Base Money Supply,Monetary Aggregate: Monthly Offshore Borrowings w/AFIs,Financial Growth: Monthly Housing Credit,Financial Growth: 12-Month Housing Credit,Financial Growth: Monthly Self-Occupied Housing Credit,Financial Growth: 12-Month Self-Occupied Housing Credit,Financial Growth: Monthly Investor Housing Credit,Financial Growth: 12-Month Investor Housing Credit,Financial Growth: Monthly Credit (Other),Financial Growth: 12-Month Credit (Other),Financial Growth: Monthly Non-Fin Businesses,Financial Growth: 12-Month Non-Fin Businesses,Financial Growth: Monthly Business,Financial Growth: 12-Month Business,Financial Growth: Monthly Exc-Fin Businesses,Financial Growth: 12-Month Exc-Fin Businesses,Financial Growth: Monthly Total Credit,Financial Growth: 12-Month Total Credit,Financial Growth: Monthly M3 Money,Financial Growth: 12-Month M3 Money,Financial Growth: Monthly Broad Money,Financial Growth: 12-Month Broad Money,Credit Aggregate: Monthly Bank Loans Exc-Fin Businesses,"Credit Aggregate: Monthly Bank Loans, Business",Credit Aggregate: Monthly NBFI Loans Exc-Fin Businesses,"Credit Aggregate: Monthly NBFI Loans, Business",Credit Aggregate: Monthly AFI Loans & Advances Exc-Fin Business,Credit Aggregate: Monthly AFI Loans & Advances,Credit Aggregate: Monthly Bills on Issue to Non-Fin Business,Credit Aggregate: Monthly Bills on Issue,Credit Aggregate: Monthly Narrow Cred. Exc-Fin Business,Credit Aggregate: Season-Adj Monthly Narrow Cred. Exc-Fin Busin,Credit Aggregate: Monthly Narrow Cred. Business,Credit Aggregate: Season-Adj Monthly Narrow Cred. Business,Credit Aggregate: Monthly Total Cred. Exc-Fin Business,Credit Aggregate: Season-Adj Monthly Total Cr. Exc-Fin Business,Credit Aggregate: Monthly Total,Credit Aggregate: Season-Adj Monthly Total,Credit Aggregate: Monthly Self-Occipied Housing,Credit Aggregate: Season-Adj Monthly Self-Occupied Housing,Credit Aggregate: Monthly Investor Cred.,Credit Aggregate: Season-Adj Monthly Investor Cred.,Credit Aggregate: Monthly Personal Cred.,Credit Aggregate: Season-Adj Monthly Personal Cred.,Credit Aggregate: Monthly Non-Fin Business,Credit Aggregate: Season-Adj Monthly Non-Fin Business,Credit Aggregate: Monthly Business,Credit Aggregate: Season-Adj Monthly Business,Credit Aggregate: Monthly Gov-Sector Lending
1,2003-01-31,29.7,183,212.7,82.4,241.6,540.2,87,627.2,29.6,212.6,537.5,623.6,36.1,152.3,1.1,17.6,0.8,14.6,1.5,24.8,0.9,10.3,0.1,7.2,0.9,6.3,0.9,15.4,1,12,1.2,10.3,1.1,9.9,627,626.8,112.2,124,739.2,750.7,74.5,76.7,812,814.4,827.5,828,905.8,908.4,916.6,918.6,313,312.5,143.9,143.7,86.9,87.2,341.2,341.5,372.8,375.1,32.6
2,2003-02-28,29.5,180.8,210.3,84,244.1,542.4,86.6,629,29.6,213.4,540.6,626.7,35.2,149.9,1.3,17.5,1.1,14.6,1.7,24.6,1.2,10.8,0.1,7.2,0.7,6.5,0.9,15.4,1.1,12.1,0.7,10.6,0.6,10,627,635.5,112.2,123.9,739.2,759.4,74.5,76.2,812,814.4,835.7,837.1,905.8,908.4,925.4,926.7,316.1,316.2,146.4,146.2,88.1,88.2,341.2,341.5,374.7,376.3,36.9
3,2003-03-31,29.3,183.4,212.7,84.3,246.2,546.7,85.5,632.2,29.6,214.4,547.7,631.9,35.1,144.9,1.5,17.7,1.2,14.6,2.3,25.3,1.1,10.8,0.1,7.2,1.6,7.8,0.9,15.4,1.5,12.8,1.1,10.8,0.5,9,627,641.8,112.2,126.5,739.2,768.3,74.5,76.3,812,814.4,844.6,845.9,905.8,908.4,939,939.2,319.6,320.3,149.6,150,90,90.3,341.2,341.5,379.8,379.4,30.4
4,2003-04-30,29.5,183.1,212.6,86.7,247.8,550,74.3,624.3,29.6,214.1,553.1,629.4,36.3,148.3,1.5,17.8,1.9,15.4,2.4,26,1.9,12.3,0.1,7.2,-0.3,6.8,0.9,15.4,0.8,12.6,0.9,10.6,1.8,10.8,627,650.2,112.2,118.1,739.2,768.3,74.5,76.5,812,814.4,844.8,847.3,905.8,908.4,939.5,941.5,326.5,327.5,148.6,149.2,89.5,89.7,341.2,341.5,375,375.2,27.3
5,2003-05-31,29.7,185.2,214.9,91.9,250.4,561.1,72.7,633.8,30.1,215.9,563.6,637.9,35.1,155.2,1.5,18.3,1.2,15.7,2.2,26.5,1.5,12.6,0.1,7.2,0.2,6.9,0.9,15.4,1,12.9,1.8,11.8,1.3,11.6,635.4,657.7,111.5,117.7,746.8,775.3,74.5,76.5,819.5,821,851.8,851.9,913.9,915.9,947.3,947.7,330.6,331.1,151.9,152.8,90.4,90.5,341,341.8,374.4,373.3,30.8
6,2003-06-30,29.6,192,221.6,86.4,252.6,565.6,68.6,634.2,29.9,217.7,564.4,637.5,35.1,149.4,1.8,19.1,1.5,16.2,2.5,28,1.1,12.4,0.8,7.2,0.6,6.4,1.3,15.4,1.3,13.1,0.6,13.2,0.3,11.8,645.4,669.1,111.7,117.2,757.2,786.3,74.7,76.8,830.7,829.7,863.1,860.7,929.1,927.2,962.4,960,336.2,336.4,156.4,156.3,91.6,91.2,344.9,344.3,378.2,376.4,30.1
7,2003-07-31,30.2,191.2,221.1,86,249.6,555.6,77,632.6,30.2,221,557.9,635.1,35.2,164,1.6,18.9,1.3,15.9,2.3,27.9,1.4,13.8,0.8,7.2,1.1,6.9,1.5,15.4,1.4,13.4,0,11.1,0.5,11.1,651.4,663.1,112,117.8,763.4,780.9,75.4,77.6,836.8,838.3,858.5,859.6,936.5,938.5,959.2,960.3,340.7,340.6,159.8,159.6,92.7,92.6,343.3,344.8,365.9,367.3,30.7
8,2003-08-31,30.5,192.2,222.4,93.5,254,568.7,79.2,647.9,30.4,223.9,570.8,647.1,35.2,159.5,1.4,19,1.2,16,2,27.8,0.6,13.2,0.3,7.2,0.6,7.4,0.9,15.4,1.1,13.6,2.3,12.3,1.9,11.8,658.9,671.1,112.5,117.9,771.4,789,75.7,78,845.7,844.6,867,867.5,947.4,945.3,969.5,970.3,344.8,344.7,163.3,163.2,93.3,93.2,346,345.7,368.1,369.2,27.5
9,2003-09-30,30.1,198.5,228.3,96.4,254.5,578.2,79.2,657.4,30,226.9,577.8,656.9,35.6,151.4,2,19.2,1.5,15.9,2.8,28.6,1.6,13.5,0.6,7.2,0.7,6.6,1.4,15.4,1.4,13.4,1.2,13.3,1.5,12.9,666.6,679.1,112.5,118.1,779.1,797.2,75.9,78.3,852.9,855.3,875.5,876.7,959.3,960.1,982.8,982.3,349.8,349.6,167.7,167.4,94.5,94.5,347.2,348,370.7,370.5,23.8
10,2003-10-31,30.7,198.1,228.4,95.7,257.2,580.5,72.1,652.6,30.6,229,582.4,653.6,36.1,146.3,1.8,20,1.5,16.6,2.5,29.7,1.1,14.3,0.6,7.2,0.7,7.9,1.3,15.4,1.3,14.5,0.9,13.6,-0.2,11.6,677.8,689.5,111.8,118.2,789.6,807.7,77.2,79.5,865.3,864.2,887.1,885.8,973.6,971.9,996.6,994.7,353.7,353.5,172,171.6,95.5,95.5,352.5,351,375.4,373.8,23.4
