DateTime ID,Report Month,Financial Growth: Monthly Housing Credit,Financial Growth: 12-Month Housing Credit,Financial Growth: Monthly Self-Occupied Housing Credit,Financial Growth: 12-Month Self-Occupied Housing Credit,Financial Growth: Monthly Investor Housing Credit,Financial Growth: 12-Month Investor Housing Credit,Credit Aggregate: Monthly Self-Occupied Housing,Credit Aggregate: Season-Adj Monthly Self-Occupied Housing,Credit Aggregate: Monthly Personal Cred.,Credit Aggregate: Season-Adj Monthly Personal Cred.
1,2003-01-31,1.1,17.6,0.8,14.6,1.5,24.8,313,312.5,86.9,87.2
2,2003-02-28,1.3,17.5,1.1,14.6,1.7,24.6,316.1,316.2,88.1,88.2
3,2003-03-31,1.5,17.7,1.2,14.6,2.3,25.3,319.6,320.3,90,90.3
4,2003-04-30,1.5,17.8,1.9,15.4,2.4,26,326.5,327.5,89.5,89.7
5,2003-05-31,1.5,18.3,1.2,15.7,2.2,26.5,330.6,331.1,90.4,90.5
6,2003-06-30,1.8,19.1,1.5,16.2,2.5,28,336.2,336.4,91.6,91.2
7,2003-07-31,1.6,18.9,1.3,15.9,2.3,27.9,340.7,340.6,92.7,92.6
8,2003-08-31,1.4,19,1.2,16,2,27.8,344.8,344.7,93.3,93.2
9,2003-09-30,2,19.2,1.5,15.9,2.8,28.6,349.8,349.6,94.5,94.5
10,2003-10-31,1.8,20,1.5,16.6,2.5,29.7,353.7,353.5,95.5,95.5
11,2003-11-30,1.7,20.7,1.5,17.3,2.3,30.2,359.3,358.8,96.2,95.9
12,2003-12-31,1.7,20.9,1.4,17.4,2.1,30.1,364.9,364,96.6,96.2
13,2004-01-31,1.6,21.5,1.5,18.1,2.2,31,369.3,368.7,96.8,97.1
14,2004-02-29,1.6,21.7,1.3,18.4,2,31.3,373.3,373.5,98.3,98.3
15,2004-03-31,1.7,21.9,1.6,18.9,1.8,30.7,381.1,382.1,98.4,98.8
16,2004-04-30,1.3,21.7,1.1,17.9,1.5,29.7,385.6,386.7,98.9,99.3
17,2004-05-31,1.3,21.5,1.2,17.9,1.5,28.8,390.5,391,99.4,99.6
18,2004-06-30,1.2,20.7,1.1,17.4,1.5,27.5,394,393.9,101,100.7
19,2004-07-31,1.3,20.4,1.2,17.3,1.5,26.6,398.9,398.8,101.5,101.5
20,2004-08-31,1.1,20,1.2,17.4,0.9,25.2,403.8,403.8,102.3,101.9
21,2004-09-30,1.5,19.3,1.2,16.9,1.8,24.1,408.2,407.8,102.9,102.9
22,2004-10-31,1.2,18.6,1.2,16.7,1.3,22.5,413.8,413.5,104.4,104.2
23,2004-11-30,1.3,18.2,1.4,16.6,1.3,21.3,419.8,419.3,105.8,105.4
24,2004-12-31,1.4,17.8,1.3,16.5,1.3,20.4,426,425,107.5,107.1
25,2005-01-31,1,17.1,1.2,16.2,1.1,19,436.6,436.1,107.8,108.2
26,2005-02-28,1,16.4,0.8,15.5,1.3,18.2,436.1,436.5,109,109
27,2005-03-31,1,15.6,1.1,14.9,0.9,17.1,436.9,438,109.6,110.3
28,2005-04-30,1.1,15.4,1.1,14.9,1,16.4,441.8,443.1,110.5,111.1
29,2005-05-31,1,15,1.1,14.8,0.7,15.4,447.1,447.7,111.4,111.7
30,2005-06-30,0.9,14.7,1,14.7,0.7,14.5,453.1,452.7,113.3,112.9
31,2005-07-31,0.8,14,0.8,14.2,0.8,13.7,456.3,456,113.9,113.8
32,2005-08-31,0.9,13.9,1.1,14.1,0.7,13.4,460.9,460.7,116.4,115.9
33,2005-09-30,1,13.3,1.1,14,0.7,12.2,465.6,465,116.9,116.9
34,2005-10-31,1.1,13.3,1.2,13.9,1.1,12,471.4,471,117.7,117.6
35,2005-11-30,1.2,13.1,1.2,13.7,1.2,11.9,477.3,476.7,118.7,118.3
36,2005-12-31,1.1,12.7,1.2,13.6,0.6,11.2,483.8,483,119.2,118.7
37,2006-01-31,1.1,12.8,1.3,13.7,1,11.1,488.6,488.4,119.4,119.7
38,2006-02-28,1.1,12.9,1.2,14.2,0.8,10.5,493.6,494.3,120.5,120.5
39,2006-03-31,0.9,12.8,1,14.1,0.7,10.4,498.4,499.8,120.8,121.8
40,2006-04-30,1.1,12.9,1.1,14.1,1.3,10.8,504,505.6,121.9,122.6
41,2006-05-31,1.3,13.3,1.3,14.2,1.3,11.5,510.9,511.7,122.9,123.2
42,2006-06-30,1.2,13.7,1.4,14.6,1.1,11.9,519.3,518.3,124.8,124.2
43,2006-07-31,1.3,14.2,1.4,15.4,0.9,12,526.7,526,125.2,125.1
44,2006-08-31,1.1,14.5,1.3,15.6,1,12.3,533.5,532.8,129.3,128.7
45,2006-09-30,1,14.5,1.1,15.6,0.8,12.5,544.1,543.1,131.1,131.2
46,2006-10-31,0.9,14.3,1.1,15.5,0.7,12,549.8,549.2,131.5,131.5
47,2006-11-30,0.8,13.9,0.9,15.1,0.8,11.5,555.2,554.7,133,132.6
48,2006-12-31,0.9,13.7,0.8,14.7,0.8,11.7,559.7,559.2,134.3,133.9
49,2007-01-31,0.9,13.5,1,14.4,0.8,11.5,564.2,564.6,135.2,135.5
50,2007-02-28,1,13.4,1,14.2,0.9,11.7,568.7,570.2,136.9,136.9
51,2007-03-31,1,13.5,1.1,14.3,0.9,11.9,574.1,575.8,137.2,138.3
52,2007-04-30,0.9,13.2,1,14.2,0.8,11.3,579.7,581.4,138.3,139.1
53,2007-05-31,1.1,12.9,1.1,14,0.9,10.9,586.7,587.6,141,141.1
54,2007-06-30,1.3,13,1.3,13.9,1.5,11.3,595.2,593.5,148.8,147.9
55,2007-07-31,0.8,12.5,0.8,13.2,0.6,11,600,598.7,148,147.9
56,2007-08-31,0.8,12.1,0.9,12.8,0.8,10.8,605.6,604.3,148.6,148.1
57,2007-09-30,0.8,11.9,0.9,12.5,0.7,10.7,610.3,609,148.3,148.6
58,2007-10-31,0.8,11.8,0.8,12.3,0.9,10.9,615.4,614.6,149.6,149.8
59,2007-11-30,0.9,11.9,1,12.3,0.8,10.9,621.6,621.5,152.7,152.4
60,2007-12-31,0.8,11.8,0.8,12.4,0.7,10.8,627.6,627.6,154.4,154.1
61,2008-01-31,0.8,11.7,0.9,12.2,0.6,10.6,632.2,633.3,153.4,153.6
62,2008-02-29,0.8,11.5,0.8,12,0.7,10.4,635.8,637.8,154.5,154.3
63,2008-03-31,0.7,11.2,0.8,11.8,0.5,9.9,641.1,642.7,153.1,154.1
64,2008-04-30,0.7,10.9,0.8,11.6,0.4,9.5,646.7,648.3,153.3,153.9
65,2008-05-31,0.6,10.4,0.6,11.1,0.5,9,651.3,652,154.9,154.8
66,2008-06-30,0.6,9.6,0.7,10.5,0.4,7.9,660.1,657.8,154.7,153.7
67,2008-07-31,0.5,9.2,0.5,10.1,0.3,7.5,664.3,662.4,152.1,151.8
68,2008-08-31,0.4,8.8,0.4,9.6,0.4,7.1,666.9,665.4,150.8,150.5
69,2008-09-30,0.5,8.5,0.6,9.3,0.3,6.7,673.3,672.1,149.5,150
70,2008-10-31,0.4,8,0.5,9,0.2,5.9,674.8,674.3,147.3,147.7
71,2008-11-30,0.5,7.6,0.7,8.8,0.1,5.2,660.8,661.1,145.3,145.1
72,2008-12-31,0.6,7.3,0.7,8.6,0.2,4.7,665.5,666,143.7,143.5
73,2009-01-31,0.5,7,0.6,8.2,0.3,4.4,668.8,670.3,142.4,142.7
74,2009-02-28,0.4,6.6,0.7,8,0,3.6,673.1,675.3,141.7,141.4
75,2009-03-31,0.7,6.5,0.9,8.1,0.2,3.3,682.4,683.6,136.6,137.4
76,2009-04-30,0.6,6.4,0.7,7.9,0.3,3.2,687.7,688.6,136.3,136.7
77,2009-05-31,0.6,6.4,0.7,8.1,0.2,2.9,693.8,693.7,135.7,135.4
78,2009-06-30,0.7,6.5,1,8.4,0.3,2.7,703.4,700.7,136.5,135.3
79,2009-07-31,0.6,6.7,0.6,8.6,0.4,2.8,707.9,706,135.6,135.3
80,2009-08-31,0.7,6.9,0.9,9,0.3,2.8,713.4,712,136.4,136.5
81,2009-09-30,0.7,7.1,0.8,9.2,0.6,3,718.3,717.7,134.8,135.4
82,2009-10-31,0.7,7.5,0.8,9.5,0.6,3.5,723.8,723.9,136.1,136.6
83,2009-11-30,0.7,7.6,0.6,9.3,0.8,4.2,728.3,729.3,137.5,137.4
84,2009-12-31,0.6,7.7,0.6,9.3,0.5,4.5,734.3,735.2,138.2,138.1
