DateTime ID,Report Month,Monetary Aggregate: M1 Money Supply,Monetary Aggregate: M3 Money Supply,Monetary Aggregate: Monthly Broad Money,Monetary Aggregate: Seasonally-Adjusted M1 Money Supply,Monetary Aggregate: Seasonally-Adjusted M3 Money Supply,Monetary Aggregate: Seasonally-Adjusted Monthly Broad Money,Monetary Aggregate: Base Money Supply,Financial Growth: Monthly M3 Money,Financial Growth: 12-Month M3 Money,Financial Growth: Monthly Broad Money,Financial Growth: 12-Month Broad Money
1,2003-01-31,212.7,540.2,627.2,212.6,537.5,623.6,36.1,1.2,10.3,1.1,9.9
2,2003-02-28,210.3,542.4,629,213.4,540.6,626.7,35.2,0.7,10.6,0.6,10
3,2003-03-31,212.7,546.7,632.2,214.4,547.7,631.9,35.1,1.1,10.8,0.5,9
4,2003-04-30,212.6,550,624.3,214.1,553.1,629.4,36.3,0.9,10.6,1.8,10.8
5,2003-05-31,214.9,561.1,633.8,215.9,563.6,637.9,35.1,1.8,11.8,1.3,11.6
6,2003-06-30,221.6,565.6,634.2,217.7,564.4,637.5,35.1,0.6,13.2,0.3,11.8
7,2003-07-31,221.1,555.6,632.6,221,557.9,635.1,35.2,0,11.1,0.5,11.1
8,2003-08-31,222.4,568.7,647.9,223.9,570.8,647.1,35.2,2.3,12.3,1.9,11.8
9,2003-09-30,228.3,578.2,657.4,226.9,577.8,656.9,35.6,1.2,13.3,1.5,12.9
10,2003-10-31,228.4,580.5,652.6,229,582.4,653.6,36.1,0.9,13.6,-0.2,11.6
11,2003-11-30,231,587.6,659.7,230.6,587.2,657.9,36.4,0.8,13.2,0.7,11.2
12,2003-12-31,236.1,600.9,673,232,594.2,665.7,38.8,1.2,13.5,1.3,11.9
13,2004-01-31,234.8,598.6,670.3,234.4,595.4,666.5,37,0.3,12.4,0.5,11.3
14,2004-02-29,232.8,605.6,673.4,236,603.8,671.8,36.4,1.6,13.4,0.9,11.7
15,2004-03-31,233.5,609.7,676.8,235.2,610.7,676.4,37.3,1,13.2,0.5,11.7
16,2004-04-30,232.4,613,679,234.6,615.9,684.2,37.1,0.7,13,0.7,10.4
17,2004-05-31,231.9,613.3,681.1,233.9,616.5,685.8,36.7,0,11,0.2,9.2
18,2004-06-30,241.5,622.7,686.2,237.1,621.3,689.3,37.2,1.1,11.6,0.9,9.8
19,2004-07-31,237.3,625.3,693.2,237.3,628.3,695.9,37.6,0.8,12.6,0.9,10.2
20,2004-08-31,237.5,629.3,699.5,239.2,631.7,698.4,37.5,0.5,10.6,0.3,8.4
21,2004-09-30,243.8,632,701.6,242.1,631.9,700.6,38,0.4,9.7,0.5,7.5
22,2004-10-31,243.7,634.9,706.8,244.4,636.6,708.2,38.2,0.9,9.7,1.3,9
23,2004-11-30,246.5,644.3,717.9,245.5,643.6,715.9,38.4,1.1,10,1.1,9.5
24,2004-12-31,252.1,655.4,730.6,247.5,647.1,722.7,40.1,0.5,9.2,0.8,8.9
25,2005-01-31,251.6,655.6,730.8,250.6,652,727.1,40.1,0.8,9.8,0.6,9
26,2005-02-28,248.6,656.9,733,251.7,655.7,732.2,38.9,0.6,8.8,0.7,8.7
27,2005-03-31,252,657.2,741.1,253.7,657.6,739.7,39.3,0.3,8,1,9.3
28,2005-04-30,252.9,659.5,742.2,255.9,663.6,748.6,38.5,0.6,7.9,0.5,9.1
