datetime_id,month_date,Credit; Housing; Monthly growth,Credit; Housing; 12-month ended growth,Credit; Owner-occupier housing; Monthly growth,Credit; Owner-occupier housing; 12-month ended growth,Credit; Investor housing; Monthly growth,Credit; Investor housing; 12-month ended growth,Credit; Other personal; Monthly growth,Credit; Other personal; 12-month ended growth,Credit; Non-financial Business; Monthly growth,Credit; Non-financial Business; 12-month ended growth,Credit; Business; Monthly growth,Credit; Business; 12-month ended growth,Credit; Business including select financial businesses; Monthly growth,Credit; Business including select financial businesses; 12-month ended growth,Credit; Total excluding financial businesses; Monthly growth,Credit; Total excluding financial businesses; 12-month ended growth,Credit; Total; Monthly growth,Credit; Total; 12-month ended growth,Credit; Total including select financial businesses; Monthly growth,Credit; Total including select financial businesses; 12-month ended growth,M3; Monthly growth,M3; 12-month ended growth,Broad money; Monthly growth,Broad money; 12-month ended growth
1,30/09/1976,1.6,,,,,,,,,,,,,,,,,,,,1.5,,1.8,
2,31/10/1976,1.7,,,,,,2.4,,,,1.6,,,,,,1.7,,,,0.9,,1.4,
3,30/11/1976,1.8,,,,,,2.2,,,,1.5,,,,,,1.6,,,,1.0,,1.4,
4,31/12/1976,1.9,,,,,,2.6,,,,2.0,,,,,,2.1,,,,1.4,,1.6,
5,31/01/1977,1.8,,,,,,2.2,,,,-0.2,,,,,,0.8,,,,0.9,,1.1,
6,28/02/1977,1.5,,,,,,1.9,,,,0.1,,,,,,0.7,,,,1.2,,1.4,
7,31/03/1977,1.7,,,,,,1.7,,,,1.2,,,,,,1.5,,,,0.7,,0.3,
8,30/04/1977,1.6,,,,,,1.6,,,,1.6,,,,,,1.5,,,,0.2,,0.2,
9,31/05/1977,1.4,,,,,,1.3,,,,1.2,,,,,,1.3,,,,0.9,,0.3,
10,30/06/1977,1.5,,,,,,1.8,,,,1.8,,,,,,1.8,,,,0.8,,1.1,
11,31/07/1977,1.5,,,,,,1.9,,,,1.5,,,,,,1.5,,,,0.4,,0.9,
12,31/08/1977,1.9,21.6,,,,,1.7,,,,1.4,,,,,,1.6,,,,0.5,10.9,1.0,13.2
13,30/09/1977,1.6,21.6,,,,,1.6,25.5,,,1.3,16.0,,,,,1.4,18.9,,,0.5,9.9,0.9,12.1
14,31/10/1977,1.2,21.0,,,,,1.6,24.6,,,0.8,15.1,,,,,1.0,18.1,,,0.7,9.7,1.1,11.8
15,30/11/1977,1.2,20.4,,,,,1.9,24.1,,,0.7,14.3,,,,,1.1,17.4,,,0.9,9.5,1.1,11.5
16,31/12/1977,1.3,19.6,,,,,1.9,23.3,,,1.3,13.4,,,,,1.4,16.6,,,0.5,8.6,0.9,10.7
17,31/01/1978,1.3,19.1,,,,,-0.2,20.3,,,1.5,15.3,,,,,1.2,17.1,,,0.6,8.2,0.9,10.5
18,28/02/1978,1.2,18.7,,,,,1.5,19.9,,,0.9,16.2,,,,,1.0,17.5,,,0.9,7.9,1.1,10.2
19,31/03/1978,1.1,18.1,,,,,1.6,19.8,,,1.1,16.1,,,,,1.3,17.2,,,1.3,8.6,1.0,11.0
20,30/04/1978,1.2,17.6,,,,,1.5,19.6,,,0.6,14.9,,,,,0.8,16.4,,,0.9,9.4,1.2,12.1
21,31/05/1978,1.2,17.4,,,,,1.4,19.8,,,1.6,15.4,,,,,1.4,16.6,,,1.1,9.7,0.7,12.5
22,30/06/1978,1.2,17.1,,,,,1.5,19.5,,,0.3,13.8,,,,,0.9,15.6,,,1.0,9.8,0.9,12.4
23,31/07/1978,1.2,16.7,,,,,1.2,18.7,,,0.2,12.3,,,,,0.6,14.5,,,1.1,10.6,1.3,12.9
24,31/08/1978,1.0,15.7,,,,,1.5,18.4,,,0.8,11.7,,,,,0.9,13.9,,,1.4,11.6,1.5,13.4
25,30/09/1978,1.2,15.2,,,,,1.5,18.3,,,1.3,11.7,,,,,1.3,13.7,,,1.1,12.1,1.2,13.7
26,31/10/1978,1.5,15.6,,,,,1.4,18.0,,,1.5,12.5,,,,,1.5,14.2,,,0.8,12.3,1.2,13.8
27,30/11/1978,1.4,15.8,,,,,1.4,17.5,,,1.1,12.9,,,,,1.2,14.4,,,0.8,12.2,1.1,13.8
28,31/12/1978,1.4,15.9,,,,,1.3,16.7,,,1.4,13.0,,,,,1.4,14.4,,,0.9,12.6,1.2,14.1
29,31/01/1979,1.4,16.0,,,,,1.3,18.5,,,0.6,12.0,,,,,1.0,14.1,,,1.3,13.4,1.1,14.3
30,28/02/1979,1.4,16.2,,,,,1.2,18.2,,,1.7,12.9,,,,,1.5,14.7,,,1.2,13.8,1.3,14.5
31,31/03/1979,1.0,16.1,,,,,1.1,17.6,,,1.4,13.2,,,,,1.3,14.7,,,1.1,13.5,1.2,14.6
32,30/04/1979,1.1,15.9,,,,,1.2,17.2,,,2.0,14.9,,,,,1.5,15.5,,,1.2,13.9,1.8,15.3
33,31/05/1979,1.3,16.1,,,,,1.0,16.7,,,0.9,14.0,,,,,1.0,15.0,,,0.9,13.6,1.0,15.7
34,30/06/1979,1.2,16.1,,,,,1.0,16.1,,,2.7,16.8,,,,,2.1,16.5,,,0.8,13.3,1.1,15.9
35,31/07/1979,1.2,16.1,,,,,1.1,16.0,,,1.1,17.8,,,,,1.0,17.0,,,0.7,12.8,1.0,15.5
36,31/08/1979,1.2,16.4,,,,,0.9,15.3,,,1.8,18.9,,,,,1.5,17.6,,,1.0,12.4,1.1,15.1
37,30/09/1979,1.3,16.4,,,,,0.8,14.5,,,2.0,19.8,,,,,1.6,18.0,,,0.9,12.2,0.7,14.6
38,31/10/1979,1.2,16.0,,,,,1.2,14.2,,,1.2,19.4,,,,,1.1,17.6,,,1.0,12.4,1.0,14.4
39,30/11/1979,1.2,15.8,,,,,0.5,13.2,,,2.2,20.7,,,,,1.7,18.1,,,1.2,12.9,1.2,14.6
40,31/12/1979,1.2,15.6,,,,,0.4,12.2,,,1.3,20.6,,,,,1.2,17.9,,,1.0,13.1,1.1,14.6
41,31/01/1980,1.1,15.4,,,,,1.6,12.6,,,1.0,21.1,,,,,1.1,18.0,,,2.2,14.0,1.7,15.2
42,29/02/1980,1.0,14.9,,,,,1.7,13.1,,,1.9,21.4,,,,,1.6,18.2,,,1.1,13.9,1.7,15.7
43,31/03/1980,0.9,14.8,,,,,1.0,13.0,,,1.5,21.6,,,,,1.3,18.2,,,0.5,13.3,1.1,15.6
44,30/04/1980,3.0,17.0,,,,,0.8,12.6,,,0.6,19.9,,,,,1.3,17.9,,,0.8,12.7,0.9,14.6
45,31/05/1980,1.3,17.0,,,,,1.1,12.7,,,1.7,20.8,,,,,1.4,18.5,,,0.9,12.8,0.9,14.4
46,30/06/1980,1.0,16.8,,,,,1.1,12.8,,,0.7,18.4,,,,,1.0,17.1,,,1.2,13.3,1.3,14.6
47,31/07/1980,1.3,16.9,,,,,1.1,12.8,,,2.0,19.6,,,,,1.6,17.8,,,1.3,14.1,1.3,14.9
48,31/08/1980,1.2,16.9,,,,,1.3,13.2,,,1.1,18.7,,,,,1.2,17.4,,,1.1,14.1,1.2,15.1
49,30/09/1980,1.1,16.7,,,,,1.3,13.7,,,1.0,17.5,,,,,1.0,16.7,,,1.0,14.3,1.3,15.7
50,31/10/1980,1.3,16.8,,,,,1.5,14.2,,,1.9,18.4,,,,,1.7,17.3,,,1.3,14.5,2.0,16.8
51,30/11/1980,1.4,17.0,,,,,1.8,15.6,,,1.3,17.3,,,,,1.3,17.0,,,1.2,14.5,1.6,17.3
52,31/12/1980,1.2,17.0,,,,,1.7,17.1,,,1.5,17.4,,,,,1.4,17.2,,,1.0,14.4,1.3,17.5
